Name,Description,Location,Website
"9b Group, Inc.",Ensuring a healthy & sustainable future for all 9 billion on Earth by 2050.,,https://www.9bgroup.com/our-team
A Living Tribute Org,Remember your loved ones with the gift of nature. Each card plants a tree.,,https://shop.alivingtribute.org/
A Thread of Hope Guatemalan Fair Trade,"Fair Trade, artisan co-op and wholesaler located in Guatemala.",,https://athreadofhope.org/
AA Environmentally Safe Cleaning,Nontoxic cleaning of homes and organizations.,,http://www.aaclean.com/
"Aha-Yes!, LLC","Takes pesticides out of food, danger out of cleaning, & toxins out of body care.",,http://www.aha-yes.com/
"Aid Through Trade, Inc.",Creator of The Original Roll-On® Bracelet - ethically crafted by women in Nepal.,,http://www.aidthroughtrade.com/
AIRNEX US LLC,🍃Eco-Essentials for Every Home,,https://www.airnex.store/
AltaadiR LLC,Eco-friendly wooden gifts by a Ukrainian artisan family in the U.S.,,https://www.altaadir.com/
"AlterECO, inc.",pioneers in modern bamboo cabinets and truly ECO-friendly kitchen design,,http://bamboocabinets.com/
Alternative Education Resource Organization,International networker of learner-centered educational alternatives.,,http://www.educationrevolution.org/
Altiplano,Handmade jewelry and bags from Guatemala.,,http://www.altiplano.com/
Altruvistas,Transforming Communities Through Sustainable Philanthropic Travel,,http://www.altruvistas.com/
Ambiance Eco,EcoFengShui/Biophilia/Regenerative Design for home/office.,,http://www.ambianceeco.com/
American College of Healthcare Sciences (ACHS),"Accredited, online integrative health & wellness education and natural products.",,http://www.achs.edu/
American Sustainable Business Council,Partnering with the most impactful brands to create a just economy for all.,,http://www.asbcouncil.org/
Amicus Green Building Center,A home improvement and design center to create great spaces.,,http://www.amicusgreen.com/
Amren Tulano,Wearing amren tulano is a choice to put the environment over disposable fashion.,,http://www.amrentulano.com/
"Animals Healing Products, Inc.",Home of Bodywork for Dogs and Intuitive Touch with Horses videos.,,http://www.animalshealing.com/
Arbor Teas,"Fair trade and organic teas, and teaware for all your afternoon tea needs.",,http://www.arborteas.com/
Athens Impact Socially Responsible Investments,Be uncompromising. Invest with your values.,,http://www.athensimpact.com/
Audrey Acosta Designs,"We make recycling sexy! Eco, aloha, fun!",,http://www.audreyacostadesigns.com/
Autumn Dahlia Creative Services LLC,"Bold, Eco-Conscious Branding for Game-Changers Ready to Disrupt the Norm",,https://autumndahliadesign.com/
Bacchus Press,"Green printing, eco-friendly mailing - good for the earth, good for business.",,http://www.bacchuspress.com/
Bamboo Living,Full-service architecture firm providing custom prefab bamboo homes and offices.,,http://bambooliving.com/
Be Green Bath and Body,"Nourish your skin safely. Gentle, yet dynamic, artisan skincare products.",,http://www.begreenbathandbody.com/
"Be Moxe, LLC",Aromatherapy to help reclaim your mindset & your space.,,https://bemoxe.com/
Belart,A Fair Trade certified org creating jewelry with artisan partners in Colombia,,http://www.belartes.com/
Beneficial State Bank,"When you bank beneficially, you choose to support people and planet.",,http://beneficialstatebank.com/
Betty Belts,"High quality jewelry with sea glass and upcycled surfboard resin in Ventura, CA",,http://www.bettybelts.com/
beyondGREEN biotech Inc.,,,https://byndgrn.com/
Birchwood Financial Partners,Helping to align your financial goals with your values.,,http://www.birchwoodfp.com/
Bonsaify LLC,Our mission: to educate & facilitate enjoyment of bonsai as a hobby sustainably.,,http://www.bonsaify.com/
Braga Organic Farms,A small family farm that grows organic pistachios.,,http://www.buyorganicnuts.com/
Breaking Ground Contracting,"Sustainable, award-winning construction company and education provider",,http://www.breakinggroundcontracting.com/
Brennan & Company Architects,"Smart & healthy architectural design, grounded in sustainable practices.",,http://www.brennanarch.com/
Brush with Bamboo,Manufacturer of plant-based bamboo toothbrushes.,,http://www.brushwithbamboo.com/
Business Alliance for Local Living Economies (BALLE),,,https://commonfuture.co/
Business for Social Responsibility (BSR),Working with business to create a just and sustainable world.,,http://www.bsr.org/
c for you apparel,Organic denim.,,https://www.c4ujeans.com/
Cadeaux du Monde,"Award-winning, online, fair trade, international folk art gallery.",,http://www.cadeauxdumonde.com/
Cafe Mam - Royal Blue Organics,"100% organic, certified fair trade, shade-grown, high altitude, arabica coffee.",,http://www.cafemam.com/
Calvert Impact,A global nonprofit investment firm that invests in solutions for people & planet,,http://www.calvertimpact.org/
Capital Intelligence Associates,Full-service financial planning firm focused on socially responsible investing.,,http://www.capintelligence.com/
Capsule Connection,Manufactures and distributes the Capsule Machine and empty capsules.,,http://www.capsuleconnection.com/
Carmel Building & Design,Certified Green Building Professionals.,,http://www.carmelbuilding.com/
Castle Baths Spa Products,We believe in a world where you can trust what you put on your skin.,,http://www.castlebaths.com/
CastleWare Baby,Pure and Clean Comfort: The best organic sleep and play wear for Little Ones.,,http://www.castleware.com/
Chestertown Natural Foods,Our mission is to meet you where you are on your journey to living healthily.,,http://www.chestertownnaturalfoods.biz/
Chicago Community Loan Fund (CCLF),"CLF provides flexible, affordable & responsible financing & technical assistance",,http://www.cclfchicago.org/
ChicoBag,"Make a positive impact on the environment with our high-quality, reusable bags.",,http://www.chicobag.com/
"CIStems, Inc.",A multi-faith website providing resources for spiritual journeys.,,http://www.spiritualityandpractice.com/
Clean Energy Credit Union,Financing the Clean Energy movement -affordable loans & climate friendly banking,,https://www.cleanenergycu.org/
Coalition for Environmentally Responsible Economies (CERES),Ceres is a nonprofit advocacy organization working toward a more just world.,,http://www.ceres.org/
Code Pink Women For Peace,Women-initiated peace and social justice movement.,,http://www.codepinkalert.org/
"Columbia Gem House, Inc.",Quality gem-cutting and ethical jewelry manufacturing.,,http://www.columbiagemhouse.com/
Come from the Heart,May all be renewed.,,https://renewtees.com/index.html
Common Sense Solutions,Products for your health and safety.,,https://www.multipure.com/commonsense
Community Forklift,"Architectural salvage, secondhand and surplus building materials and home goods",,http://www.communityforklift.org/
"Community Printers, Inc.",Supporting Communities and Helping Businesses Grow.,,http://www.comprinters.com/
"Creative Creek, LLC",Software and consulting to solve engineering problems.,,http://www.creativecreek.com/
CSRwire,"""Raw and unfiltered"" corporate social responsibility news.",,http://www.csrwire.com/
Daddy Van's,All Natural Beeswax Furniture Polish and Finishing Wax.,,http://www.daddyvans.com/
Dash Hemp Santa Cruz,Upscale Hemp Clothing for Men and Women,,http://www.dashhemp.com/
Davidson's Organic Tea,"Your leaf-to-cup source for organic teas, herbs, cocoa, and spices.",,http://www.davidsonstea.com/
"Decent Exposures, Inc.","Organic cotton bras, underwear, and clothing made in the USA",,http://www.decentexposures.com/
Descale-It Products Co.,"100% Biodegradable, Non-Toxic, Non-Hazardous Cleaning Solutions",,http://www.descale-it.com/
"DEVA Nutrition, LLC",Vegan Vitamins & Supplements,,http://www.devanutrition.com/
Dharma Merchant Services,Dharma Merchant Services is a provider of merchant services & payment processing,,http://www.dharmamerchantservices.com/
Domestic Tranquility,Green building expertise tailored to the needs of homeowners in the Northwest.,,http://www.resilienteugene.com/
"Dunitz & Company, Inc.",Dunitz & Company has been offering hip and fair trade jewelry since 1989.,,http://www.dunitz.com/
E&B Auto Repair,,,http://www.eandbautorepair.com/
"Earth and Sky Architecture, LLC","We design beautiful high performance homes, ADUs, additions, and remodels.",,http://www.earthskyarchitecture.com/
"eco-officiency, LLC",Sustainable consulting services for small/medium businesses.,,http://www.eco-officiency.com/
Eco-Wares/Envirosafe MFG,"Safe sealers, cleaners, coatings for concrete, masonry, porous stone.",,http://www.eco-wares.com/
Ecobutterfly Organics,"Sustainably dyed organic cotton yarns and fiber, and more.",,http://www.ecobutterfly.com/
